merchant_id,merchant_category,merchant_size,geography,total_transactions,failed_transactions,failure_rate,failed_transaction_value,dominant_failure_reason,incident_severity,actual_incident,required_action,revenue_at_risk,incident_reason
M00001,Food Delivery,Small,East,115,11,0.0957,3526.41,Bank Decline,High,1,INVESTIGATE,3526.41,Material payment failure pattern detected.
M00002,Retail,Small,West,110,8,0.0727,7310.95,Payment Timeout,Medium,0,MONITOR,7310.95,No material payment incident detected.
M00003,Education,Small,Central,102,7,0.0686,29761.22,Bank Decline,Medium,0,MONITOR,29761.22,No material payment incident detected.
M00004,Education,Medium,West,103,5,0.0485,10639.87,Bank Decline,Low,0,NO_ACTION,10639.87,No material payment incident detected.
M00005,Travel,Small,East,113,13,0.115,347866.69,Insufficient Funds,Critical,1,ESCALATE,347866.69,Material payment failure pattern detected.
M00006,Retail,Small,Central,96,6,0.0625,16487.51,Network Error,Medium,0,MONITOR,16487.51,No material payment incident detected.
M00007,Gaming,Small,South,114,13,0.114,40678.28,Network Error,Critical,1,ESCALATE,40678.28,Material payment failure pattern detected.
M00008,Travel,Small,East,91,7,0.0769,80920.61,Insufficient Funds,High,1,INVESTIGATE,80920.61,Material payment failure pattern detected.
M00009,Gaming,Small,South,94,2,0.0213,765.49,Bank Decline,Low,0,NO_ACTION,765.49,No material payment incident detected.
M00010,Retail,Medium,Central,89,6,0.0674,12445.74,Payment Timeout,Medium,0,MONITOR,12445.74,No material payment incident detected.
M00011,Education,Small,East,112,5,0.0446,36697.82,Bank Decline,Low,0,NO_ACTION,36697.82,No material payment incident detected.
M00012,SaaS,Medium,West,89,6,0.0674,76535.92,Insufficient Funds,Medium,0,MONITOR,76535.92,No material payment incident detected.
M00013,E-commerce,Small,East,105,9,0.0857,21556.68,Network Error,High,1,INVESTIGATE,21556.68,Material payment failure pattern detected.
M00014,E-commerce,Large,Central,105,7,0.0667,29613.97,Authentication Failure,Medium,0,MONITOR,29613.97,No material payment incident detected.
M00015,E-commerce,Medium,Central,92,5,0.0543,9330.43,Network Error,Medium,0,MONITOR,9330.43,No material payment incident detected.
M00016,Retail,Medium,North,107,9,0.0841,8674.38,Technical Error,High,1,INVESTIGATE,8674.38,Material payment failure pattern detected.
M00017,Professional Services,Small,East,96,5,0.0521,49268.41,Network Error,Medium,0,MONITOR,49268.41,No material payment incident detected.
M00018,Professional Services,Small,North,92,4,0.0435,31444.48,Bank Decline,Low,0,NO_ACTION,31444.48,No material payment incident detected.
M00019,E-commerce,Medium,Central,85,5,0.0588,25728.01,Bank Decline,Medium,0,MONITOR,25728.01,No material payment incident detected.
M00020,Healthcare,Small,East,108,7,0.0648,51109.76,Insufficient Funds,Medium,0,MONITOR,51109.76,No material payment incident detected.
M00021,E-commerce,Small,North,103,4,0.0388,10653.98,Payment Timeout,Low,0,NO_ACTION,10653.98,No material payment incident detected.
M00022,Food Delivery,Small,West,97,4,0.0412,1866.55,Insufficient Funds,Low,0,NO_ACTION,1866.55,No material payment incident detected.
M00023,Healthcare,Small,Central,90,6,0.0667,41751.11,Network Error,Medium,0,MONITOR,41751.11,No material payment incident detected.
M00024,Gaming,Small,Central,98,6,0.0612,5451.8,Insufficient Funds,Medium,0,MONITOR,5451.8,No material payment incident detected.
M00025,Food Delivery,Small,South,75,2,0.0267,2366.98,Bank Decline,Low,0,NO_ACTION,2366.98,No material payment incident detected.
M00026,Retail,Medium,North,92,6,0.0652,10515.31,Payment Timeout,Medium,0,MONITOR,10515.31,No material payment incident detected.
M00027,E-commerce,Large,Central,99,6,0.0606,9226.13,Authentication Failure,Medium,0,MONITOR,9226.13,No material payment incident detected.
M00028,E-commerce,Small,West,102,6,0.0588,12711.39,Authentication Failure,Medium,0,MONITOR,12711.39,No material payment incident detected.
M00029,Retail,Small,West,104,7,0.0673,29137.05,Insufficient Funds,Medium,0,MONITOR,29137.05,No material payment incident detected.
M00030,E-commerce,Small,West,108,4,0.037,8843.35,Bank Decline,Low,0,NO_ACTION,8843.35,No material payment incident detected.
M00031,Media,Small,North,89,7,0.0787,15537.14,Authentication Failure,High,1,INVESTIGATE,15537.14,Material payment failure pattern detected.
M00032,Retail,Medium,South,102,5,0.049,9209.92,Insufficient Funds,Low,0,NO_ACTION,9209.92,No material payment incident detected.
M00033,E-commerce,Small,West,104,2,0.0192,10392.17,Network Error,Low,0,NO_ACTION,10392.17,No material payment incident detected.
M00034,Gaming,Medium,Central,95,4,0.0421,6041.52,Authentication Failure,Low,0,NO_ACTION,6041.52,No material payment incident detected.
M00035,Retail,Small,Central,118,8,0.0678,16332.86,Authentication Failure,Medium,0,MONITOR,16332.86,No material payment incident detected.
M00036,Food Delivery,Medium,South,99,5,0.0505,5010.91,Insufficient Funds,Medium,0,MONITOR,5010.91,No material payment incident detected.
M00037,Education,Medium,West,98,3,0.0306,20730.2,Payment Timeout,Low,0,NO_ACTION,20730.2,No material payment incident detected.
M00038,Education,Small,Central,108,6,0.0556,21940.03,Technical Error,Medium,0,MONITOR,21940.03,No material payment incident detected.
M00039,Gaming,Small,West,103,4,0.0388,7458.02,Payment Timeout,Low,0,NO_ACTION,7458.02,No material payment incident detected.
M00040,Professional Services,Small,West,85,1,0.0118,14859.75,Payment Timeout,Low,0,NO_ACTION,14859.75,No material payment incident detected.
M00041,E-commerce,Small,East,102,2,0.0196,10577.55,Payment Timeout,Low,0,NO_ACTION,10577.55,No material payment incident detected.
M00042,Healthcare,Small,East,91,9,0.0989,82506.41,Bank Decline,High,1,INVESTIGATE,82506.41,Material payment failure pattern detected.
M00043,Professional Services,Small,North,100,7,0.07,37104.61,Insufficient Funds,Medium,0,MONITOR,37104.61,No material payment incident detected.
M00044,Professional Services,Small,East,92,7,0.0761,109327.31,Payment Timeout,High,1,INVESTIGATE,109327.31,Material payment failure pattern detected.
M00045,Media,Small,East,92,6,0.0652,13506.58,Bank Decline,Medium,0,MONITOR,13506.58,No material payment incident detected.
M00046,Professional Services,Small,East,111,8,0.0721,105822.73,Technical Error,Medium,0,MONITOR,105822.73,No material payment incident detected.
M00047,Healthcare,Medium,Central,98,3,0.0306,5641.23,Technical Error,Low,0,NO_ACTION,5641.23,No material payment incident detected.
M00048,Food Delivery,Medium,Central,98,7,0.0714,5869.11,Authentication Failure,Medium,0,MONITOR,5869.11,No material payment incident detected.
M00049,Retail,Medium,North,104,5,0.0481,6307.11,Authentication Failure,Low,0,NO_ACTION,6307.11,No material payment incident detected.
M00050,SaaS,Small,West,104,4,0.0385,50504.08,Bank Decline,Low,0,NO_ACTION,50504.08,No material payment incident detected.
M00051,Retail,Medium,West,89,9,0.1011,34831.6,Payment Timeout,Critical,1,ESCALATE,34831.6,Material payment failure pattern detected.
M00052,Travel,Medium,South,93,7,0.0753,171756.53,Bank Decline,High,1,INVESTIGATE,171756.53,Material payment failure pattern detected.
