merchant_id,expected_action,predicted_action,actual_incident,predicted_incident,risk_score,failure_rate
M00001,INVESTIGATE,MONITOR,1,0,49.91,0.0957
M00002,MONITOR,NO_ACTION,0,0,21.35,0.0727
M00003,MONITOR,NO_ACTION,0,0,4.94,0.0686
M00004,NO_ACTION,NO_ACTION,0,0,12.93,0.0485
M00005,ESCALATE,ESCALATE,1,1,100.0,0.115
M00006,MONITOR,NO_ACTION,0,0,2.04,0.0625
M00007,ESCALATE,INVESTIGATE,1,1,62.68,0.114
M00008,INVESTIGATE,MONITOR,1,0,30.12,0.0769
M00009,NO_ACTION,MONITOR,0,0,45.43,0.0213
M00010,MONITOR,NO_ACTION,0,0,15.73,0.0674
M00011,NO_ACTION,NO_ACTION,0,0,26.37,0.0446
M00012,MONITOR,NO_ACTION,0,0,18.29,0.0674
M00013,INVESTIGATE,NO_ACTION,1,0,27.49,0.0857
M00014,MONITOR,NO_ACTION,0,0,5.2,0.0667
M00015,MONITOR,NO_ACTION,0,0,12.11,0.0543
M00016,INVESTIGATE,MONITOR,1,0,30.04,0.0841
M00017,MONITOR,NO_ACTION,0,0,14.8,0.0521
M00018,NO_ACTION,NO_ACTION,0,0,22.62,0.0435
M00019,MONITOR,NO_ACTION,0,0,10.37,0.0588
M00020,MONITOR,NO_ACTION,0,0,12.57,0.0648
M00021,NO_ACTION,NO_ACTION,0,0,21.99,0.0388
M00022,NO_ACTION,NO_ACTION,0,0,23.31,0.0412
M00023,MONITOR,NO_ACTION,0,0,11.76,0.0667
M00024,MONITOR,NO_ACTION,0,0,2.96,0.0612
M00025,NO_ACTION,MONITOR,0,0,57.11,0.0267
M00026,MONITOR,NO_ACTION,0,0,11.19,0.0652
M00027,MONITOR,NO_ACTION,0,0,0.0,0.0606
M00028,MONITOR,NO_ACTION,0,0,1.36,0.0588
M00029,MONITOR,NO_ACTION,0,0,5.45,0.0673
M00030,NO_ACTION,NO_ACTION,0,0,28.22,0.037
M00031,INVESTIGATE,NO_ACTION,1,0,27.43,0.0787
M00032,NO_ACTION,NO_ACTION,0,0,10.9,0.049
M00033,NO_ACTION,MONITOR,0,0,40.26,0.0192
M00034,NO_ACTION,NO_ACTION,0,0,22.56,0.0421
M00035,MONITOR,NO_ACTION,0,0,21.74,0.0678
M00036,MONITOR,NO_ACTION,0,0,11.5,0.0505
M00037,NO_ACTION,NO_ACTION,0,0,29.86,0.0306
M00038,MONITOR,NO_ACTION,0,0,8.54,0.0556
M00039,NO_ACTION,NO_ACTION,0,0,23.03,0.0388
M00040,NO_ACTION,INVESTIGATE,0,1,66.28,0.0118
M00041,NO_ACTION,MONITOR,0,0,37.29,0.0196
M00042,INVESTIGATE,MONITOR,1,0,47.48,0.0989
M00043,MONITOR,NO_ACTION,0,0,4.3,0.07
M00044,INVESTIGATE,MONITOR,1,0,32.24,0.0761
M00045,MONITOR,NO_ACTION,0,0,9.87,0.0652
M00046,MONITOR,MONITOR,0,0,31.91,0.0721
M00047,NO_ACTION,MONITOR,0,0,30.97,0.0306
M00048,MONITOR,NO_ACTION,0,0,13.33,0.0714
M00049,NO_ACTION,NO_ACTION,0,0,15.51,0.0481
M00050,NO_ACTION,MONITOR,0,0,31.14,0.0385
M00051,ESCALATE,MONITOR,1,0,47.04,0.1011
M00052,INVESTIGATE,MONITOR,1,0,45.44,0.0753
M00053,INVESTIGATE,NO_ACTION,1,0,25.31,0.0851
M00054,INVESTIGATE,NO_ACTION,1,0,28.59,0.0842
M00055,INVESTIGATE,MONITOR,1,0,37.08,0.09
M00056,MONITOR,NO_ACTION,0,0,5.01,0.0673
M00057,MONITOR,NO_ACTION,0,0,10.5,0.07
M00058,NO_ACTION,MONITOR,0,0,49.27,0.023
M00059,NO_ACTION,NO_ACTION,0,0,25.46,0.044
M00060,NO_ACTION,NO_ACTION,0,0,12.9,0.0495
M00061,NO_ACTION,MONITOR,0,0,43.6,0.0215
M00062,NO_ACTION,MONITOR,0,0,31.79,0.0283
M00063,NO_ACTION,NO_ACTION,0,0,17.85,0.043
M00064,ESCALATE,MONITOR,1,0,46.84,0.1038
M00065,MONITOR,NO_ACTION,0,0,11.92,0.0625
M00066,NO_ACTION,MONITOR,0,0,36.67,0.0337
M00067,MONITOR,NO_ACTION,0,0,29.58,0.05
M00068,ESCALATE,INVESTIGATE,1,1,73.16,0.1157
M00069,INVESTIGATE,MONITOR,1,0,32.28,0.0833
M00070,MONITOR,NO_ACTION,0,0,13.27,0.0538
M00071,MONITOR,NO_ACTION,0,0,8.26,0.066
M00072,NO_ACTION,NO_ACTION,0,0,17.84,0.0476
M00073,NO_ACTION,NO_ACTION,0,0,20.01,0.045
M00074,NO_ACTION,NO_ACTION,0,0,17.57,0.0476
M00075,NO_ACTION,MONITOR,0,0,49.2,0.0225
M00076,ESCALATE,INVESTIGATE,1,1,66.82,0.1171
M00077,MONITOR,NO_ACTION,0,0,17.77,0.0536
M00078,INVESTIGATE,MONITOR,1,0,36.5,0.0874
M00079,MONITOR,NO_ACTION,0,0,14.32,0.0532
M00080,MONITOR,NO_ACTION,0,0,4.05,0.0588
M00081,NO_ACTION,MONITOR,0,0,57.82,0.0094
M00082,NO_ACTION,NO_ACTION,0,0,29.4,0.0367
M00083,ESCALATE,MONITOR,1,0,56.99,0.1111
M00084,ESCALATE,MONITOR,1,0,49.88,0.1
M00085,NO_ACTION,NO_ACTION,0,0,23.81,0.0417
M00086,INVESTIGATE,MONITOR,1,0,36.98,0.0938
M00087,MONITOR,NO_ACTION,0,0,21.15,0.0698
M00088,INVESTIGATE,MONITOR,1,0,44.09,0.092
M00089,MONITOR,NO_ACTION,0,0,13.38,0.055
M00090,INVESTIGATE,MONITOR,1,0,35.32,0.0879
M00091,MONITOR,NO_ACTION,0,0,25.12,0.051
M00092,MONITOR,NO_ACTION,0,0,17.4,0.069
M00093,INVESTIGATE,MONITOR,1,0,40.0,0.0862
M00094,NO_ACTION,INVESTIGATE,0,1,66.74,0.0092
M00095,MONITOR,NO_ACTION,0,0,9.63,0.0638
M00096,MONITOR,NO_ACTION,0,0,9.63,0.05
M00097,INVESTIGATE,NO_ACTION,1,0,20.75,0.0816
M00098,NO_ACTION,MONITOR,0,0,54.4,0.0336
M00099,MONITOR,NO_ACTION,0,0,2.47,0.0632
M00100,NO_ACTION,NO_ACTION,0,0,26.4,0.0449
