merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,injected_anomaly_count,failure_rate,success_rate,has_injected_incident,anomaly_prediction,anomaly_score,predicted_anomaly
M00001,115,43193.24,375.5933913043478,11,0,0.0956521739130434,0.9043478260869564,0,1,0.05486851354633587,0
M00002,110,105707.67,960.9788181818182,8,0,0.0727272727272727,0.9272727272727272,0,1,0.14071852145079466,0
M00003,102,413727.21,4056.149117647059,14,8,0.1372549019607843,0.8627450980392157,1,1,0.0010020095154119613,0
M00004,103,224863.81,2183.143786407767,5,0,0.0485436893203883,0.9514563106796116,0,1,0.18046263478271268,0
M00005,113,2900631.59,25669.30610619469,29,17,0.2566371681415929,0.7433628318584071,1,-1,-0.22850416611644497,1
M00006,96,326288.77,3398.841354166667,6,0,0.0625,0.9375,0,1,0.1669089517604282,0
M00007,114,334172.01,2931.333421052632,13,0,0.1140350877192982,0.8859649122807017,0,1,0.03931496792158218,0
M00008,91,1194821.45,13129.906043956044,29,23,0.3186813186813186,0.6813186813186813,1,-1,-0.18551529166899605,1
M00009,94,77409.52,823.5055319148937,2,0,0.0212765957446808,0.9787234042553192,0,1,0.11644601566243812,0
M00010,89,178847.57,2009.5232584269663,6,0,0.0674157303370786,0.9325842696629214,0,1,0.1632565423951708,0
M00011,112,827433.1799999999,7387.796249999999,5,0,0.0446428571428571,0.9553571428571428,0,1,0.11091904385291668,0
M00012,89,944966.32,10617.599101123596,6,0,0.0674157303370786,0.9325842696629214,0,1,0.09271451097611694,0
M00013,105,250280.46,2383.6234285714286,9,0,0.0857142857142857,0.9142857142857144,0,1,0.14221915172816463,0
M00014,105,443463.32,4223.46019047619,7,0,0.0666666666666666,0.9333333333333332,0,1,0.1686850707762551,0
M00015,92,195142.37,2121.112717391304,5,0,0.0543478260869565,0.9456521739130436,0,1,0.162686250349318,0
M00016,107,107349.67,1003.2679439252336,9,0,0.0841121495327102,0.9158878504672896,0,1,0.13887433877809618,0
M00017,96,1018404.53,10608.380520833334,5,0,0.0520833333333333,0.9479166666666666,0,1,0.1000804792705306,0
M00018,92,747861.91,8128.933804347826,4,0,0.0434782608695652,0.9565217391304348,0,1,0.11745586711470568,0
M00019,85,413533.53,4865.100352941176,5,0,0.0588235294117647,0.9411764705882352,0,1,0.09790052916165787,0
M00020,108,921179.29,8529.437870370371,7,0,0.0648148148148148,0.9351851851851852,0,1,0.12227426846669942,0
M00021,103,266470.06,2587.0879611650485,4,0,0.0388349514563106,0.9611650485436892,0,1,0.16936520825921958,0
M00022,97,39022.2,402.2907216494845,4,0,0.0412371134020618,0.9587628865979382,0,1,0.14980345483349955,0
M00023,90,648267.28,7202.969777777778,6,0,0.0666666666666666,0.9333333333333332,0,1,0.1308473690764495,0
M00024,98,81658.69,833.2519387755102,6,0,0.0612244897959183,0.9387755102040816,0,1,0.1774584797364278,0
M00025,75,83829.2,1117.7226666666666,2,0,0.0266666666666666,0.9733333333333334,0,-1,-0.0104578599270726,1
M00026,92,155654.31,1691.8946739130436,6,0,0.0652173913043478,0.9347826086956522,0,1,0.173784455069121,0
M00027,99,169305.85,1710.160101010101,6,0,0.0606060606060606,0.9393939393939394,0,1,0.18110783214878962,0
M00028,102,245692.65,2408.7514705882354,26,20,0.2549019607843137,0.7450980392156863,1,-1,-0.12481008402310334,1
M00029,104,412672.31,3968.002980769231,7,0,0.0673076923076923,0.9326923076923076,0,1,0.1708292566932656,0
M00030,108,272316.5,2521.449074074074,4,0,0.037037037037037,0.962962962962963,0,1,0.15474379206323874,0
M00031,89,153015.68,1719.2773033707865,7,0,0.0786516853932584,0.9213483146067416,0,1,0.1386802534438885,0
M00032,102,264409.9,2592.253921568628,5,0,0.0490196078431372,0.9509803921568628,0,1,0.1800015107080411,0
M00033,104,407084.93,3914.278173076923,2,0,0.0192307692307692,0.9807692307692308,0,1,0.10743405440149528,0
M00034,95,142114.4,1495.941052631579,4,0,0.0421052631578947,0.9578947368421052,0,1,0.16748181280388486,0
M00035,118,221809.96,1879.7454237288132,8,0,0.0677966101694915,0.9322033898305084,0,1,0.10300281061494826,0
M00036,99,81783.84,826.0993939393938,5,0,0.0505050505050505,0.9494949494949496,0,1,0.17506241207899004,0
M00037,98,732962.88,7479.21306122449,3,0,0.0306122448979591,0.9693877551020408,0,1,0.11562844255645743,0
M00038,108,339303.4,3141.6981481481484,6,0,0.0555555555555555,0.9444444444444444,0,1,0.15641452550024848,0
M00039,103,202971.68,1970.598834951456,4,0,0.0388349514563106,0.9611650485436892,0,1,0.16934982554540162,0
M00040,85,1082592.83,12736.386235294118,1,0,0.0117647058823529,0.9882352941176472,0,-1,-0.032410236412244275,1
M00041,102,455277.44,4463.504313725491,2,0,0.0196078431372549,0.9803921568627452,0,1,0.10915259421217849,0
M00042,91,908289.71,9981.205604395604,9,0,0.0989010989010989,0.9010989010989012,0,1,0.07388612703920261,0
M00043,100,540997.81,5409.9781,7,0,0.07,0.93,0,1,0.15406347573795115,0
M00044,92,1430163.31,15545.253369565218,7,0,0.0760869565217391,0.9239130434782608,0,1,0.02849816451580267,0
M00045,92,235756.69,2562.572717391304,6,0,0.0652173913043478,0.9347826086956522,0,1,0.16560515016543403,0
M00046,111,1490402.0,13427.045045045044,8,0,0.072072072072072,0.927927927927928,0,1,0.01860925601591179,0
M00047,98,166985.52,1703.9338775510205,3,0,0.0306122448979591,0.9693877551020408,0,1,0.15017030540802023,0
M00048,98,74267.58,757.8324489795918,7,0,0.0714285714285714,0.9285714285714286,0,1,0.16261758081359906,0
M00049,104,151298.01,1454.7885576923077,5,0,0.048076923076923,0.9519230769230768,0,1,0.1799958032432618,0
M00050,104,1180670.7,11352.602884615384,4,0,0.0384615384615384,0.9615384615384616,0,1,0.0711604626979927,0
M00051,89,332363.92,3734.4260674157294,9,0,0.1011235955056179,0.898876404494382,0,1,0.09314436060773573,0
M00052,93,2339609.97,25157.096451612902,7,0,0.075268817204301,0.9247311827956988,0,-1,-0.09005239834074319,1
M00053,94,401141.29,4267.460531914893,8,0,0.0851063829787234,0.9148936170212766,0,1,0.13912168328780866,0
M00054,95,91359.11,961.6748421052632,8,0,0.0842105263157894,0.9157894736842104,0,1,0.14990241247897246,0
M00055,100,1315456.54,13154.5654,9,0,0.09,0.91,0,1,0.0622539877796065,0
M00056,104,528713.66,5083.785192307692,7,0,0.0673076923076923,0.9326923076923076,0,1,0.15918097310117768,0
M00057,100,918908.98,9189.0898,7,0,0.07,0.93,0,1,0.12963626106361947,0
M00058,87,124606.81,1432.262183908046,2,0,0.0229885057471264,0.9770114942528736,0,1,0.10776337775869127,0
M00059,91,72845.93,800.5047252747252,4,0,0.0439560439560439,0.956043956043956,0,1,0.14950148813239544,0
M00060,101,57447.66,568.7887128712871,5,0,0.0495049504950495,0.9504950495049505,0,1,0.16867777304531856,0
M00061,93,737671.03,7931.946559139786,2,0,0.021505376344086,0.978494623655914,0,1,0.08403501139352304,0
M00062,106,479007.78,4518.941320754717,3,0,0.0283018867924528,0.9716981132075472,0,1,0.12678203874240185,0
M00063,93,483947.68,5203.738494623656,4,0,0.043010752688172,0.956989247311828,0,1,0.13651122843460156,0
M00064,106,736793.83,6950.8851886792445,11,0,0.1037735849056603,0.8962264150943396,0,1,0.07492999754804869,0
M00065,112,165025.42,1473.44125,7,0,0.0625,0.9375,0,1,0.14530812327805104,0
M00066,89,126560.81,1422.031573033708,3,0,0.0337078651685393,0.9662921348314608,0,1,0.14010485220652463,0
M00067,120,58644.51,488.70425,6,0,0.05,0.95,0,1,0.08946834326130498,0
M00068,121,183418.7,1515.8570247933883,14,0,0.1157024793388429,0.884297520661157,0,-1,-0.016630430035542876,1
M00069,84,548312.62,6527.53119047619,7,0,0.0833333333333333,0.9166666666666666,0,1,0.06939042396271605,0
M00070,93,105325.09,1132.5278494623656,5,0,0.053763440860215,0.946236559139785,0,1,0.17287387069255533,0
M00071,106,274106.04,2585.9060377358487,7,0,0.0660377358490566,0.9339622641509434,0,1,0.16983431940505928,0
M00072,105,92503.23,880.9831428571429,5,0,0.0476190476190476,0.9523809523809524,0,1,0.17790068502761164,0
M00073,111,448652.23,4041.9119819819816,5,0,0.045045045045045,0.954954954954955,0,1,0.13640555629551943,0
M00074,105,109007.11,1038.1629523809524,5,0,0.0476190476190476,0.9523809523809524,0,1,0.17851717579454146,0
M00075,89,50538.58,567.8492134831461,2,0,0.0224719101123595,0.9775280898876404,0,1,0.1021690187204613,0
M00076,111,862331.0,7768.747747747748,13,0,0.1171171171171171,0.8828828828828829,0,1,0.01768325604907306,0
M00077,112,849071.08,7580.991785714285,6,0,0.0535714285714285,0.9464285714285714,0,1,0.11818643694484754,0
M00078,103,1274968.33,12378.333300970877,9,0,0.087378640776699,0.912621359223301,0,1,0.0693556160204632,0
M00079,94,21070.98,224.15936170212763,5,0,0.0531914893617021,0.946808510638298,0,1,0.13529121990663484,0
M00080,102,82015.55,804.0740196078432,6,0,0.0588235294117647,0.9411764705882352,0,1,0.1754961205058468,0
M00081,106,46641.95,440.0183962264151,1,0,0.0094339622641509,0.9905660377358492,0,1,0.03340073928216347,0
M00082,109,691192.38,6341.214495412844,4,0,0.036697247706422,0.963302752293578,0,1,0.11616113360889363,0
M00083,108,171440.88,1587.4155555555556,12,0,0.1111111111111111,0.8888888888888888,0,1,0.07916231611511926,0
M00084,90,35721.04,396.9004444444445,9,0,0.1,0.9,0,1,0.0880840013783622,0
M00085,96,37417.05,389.7609375,4,0,0.0416666666666666,0.9583333333333334,0,1,0.1478723350445053,0
M00086,96,108729.16,1132.5954166666668,9,0,0.09375,0.90625,0,1,0.132206328142491,0
M00087,86,157659.94,1833.2551162790696,6,0,0.0697674418604651,0.9302325581395348,0,1,0.13702168714068613,0
M00088,87,61613.81,708.2047126436781,8,0,0.0919540229885057,0.9080459770114944,0,1,0.10195872570819076,0
M00089,109,837360.25,7682.204128440367,6,0,0.055045871559633,0.944954128440367,0,1,0.1335578104604201,0
M00090,91,839475.58,9225.006373626373,8,0,0.0879120879120879,0.912087912087912,0,1,0.10067309780813599,0
M00091,98,1692318.27,17268.553775510205,5,0,0.0510204081632653,0.9489795918367347,0,-1,-0.009018085638707651,1
M00092,116,520793.35,4489.597844827586,8,0,0.0689655172413793,0.9310344827586208,0,1,0.10153736642153405,0
M00093,116,842968.44,7266.969310344827,10,0,0.0862068965517241,0.9137931034482758,0,1,0.06519459767852775,0
M00094,109,1283112.31,11771.67256880734,1,0,0.0091743119266055,0.9908256880733946,0,-1,-0.01579707623912807,1
M00095,94,55613.12,591.6289361702128,6,0,0.0638297872340425,0.9361702127659576,0,1,0.16415620417093313,0
M00096,100,171614.49,1716.1449,5,0,0.05,0.95,0,1,0.18330574997929183,0
M00097,98,721456.4,7361.8,8,0,0.0816326530612244,0.9183673469387756,0,1,0.12444679734703912,0
M00098,119,1474462.26,12390.439159663863,4,0,0.0336134453781512,0.9663865546218487,0,-1,-0.019703569448072833,1
M00099,95,395194.6,4159.943157894737,6,0,0.0631578947368421,0.936842105263158,0,1,0.16649889225070136,0
M00100,89,65478.32,735.7114606741573,4,0,0.0449438202247191,0.9550561797752808,0,1,0.14600544202678317,0
