merchant_id,transaction_count,total_transaction_value,failed_transactions,successful_transactions,failure_rate,merchant_type,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled
M00001,115,43193.24,11,104,0.09565217391304348,Normal,Food Delivery,Small,381.4,919,0.955,UPI,East,False
M00002,110,105707.67,8,102,0.07272727272727272,Normal,Retail,Small,921.63,1452,0.955,UPI,West,False
M00003,102,413727.21,7,95,0.06862745098039216,Incident,Education,Small,4144.46,1639,0.94,Credit Card,Central,False
M00004,103,224863.81,5,98,0.04854368932038835,Normal,Education,Medium,2088.36,8514,0.96,UPI,West,True
M00005,113,2900631.59,13,100,0.11504424778761062,Incident,Travel,Small,25178.21,2381,0.91,Net Banking,East,False
M00006,96,326288.77,6,90,0.0625,Normal,Retail,Small,3328.88,1981,0.955,UPI,Central,False
M00007,114,334172.01,13,101,0.11403508771929824,Normal,Gaming,Small,2957.14,1453,0.915,Net Banking,South,False
M00008,91,1194821.45,7,84,0.07692307692307693,Incident,Travel,Small,13881.77,1593,0.93,Credit Card,East,False
M00009,94,77409.52,2,92,0.02127659574468085,Normal,Gaming,Small,809.95,2393,0.935,Credit Card,South,False
M00010,89,178847.57,6,83,0.06741573033707865,Normal,Retail,Medium,1959.27,3916,0.955,UPI,Central,False
M00011,112,827433.1799999999,5,107,0.044642857142857144,Normal,Education,Small,7391.95,2823,0.96,UPI,East,False
M00012,89,944966.32,6,83,0.06741573033707865,Normal,SaaS,Medium,10714.22,5340,0.925,Net Banking,West,True
M00013,105,250280.46,9,96,0.08571428571428572,Normal,E-commerce,Small,2427.95,2890,0.925,Debit Card,East,False
M00014,105,443463.32,7,98,0.06666666666666667,Normal,E-commerce,Large,3901.02,29371,0.935,Credit Card,Central,False
M00015,92,195142.37,5,87,0.05434782608695652,Normal,E-commerce,Medium,2217.29,10668,0.955,UPI,Central,False
M00016,107,107349.67,9,98,0.08411214953271028,Normal,Retail,Medium,1015.48,11797,0.925,Debit Card,North,False
M00017,96,1018404.53,5,91,0.052083333333333336,Normal,Professional Services,Small,10713.3,1578,0.945,Credit Card,East,False
M00018,92,747861.91,4,88,0.043478260869565216,Normal,Professional Services,Small,8073.56,2579,0.925,Net Banking,North,False
M00019,85,413533.53,5,80,0.058823529411764705,Normal,E-commerce,Medium,4650.95,3009,0.945,Wallet,Central,False
M00020,108,921179.29,7,101,0.06481481481481481,Normal,Healthcare,Small,8484.99,1759,0.92,Net Banking,East,False
M00021,103,266470.06,4,99,0.038834951456310676,Normal,E-commerce,Small,2686.96,783,0.955,UPI,North,False
M00022,97,39022.2,4,93,0.041237113402061855,Normal,Food Delivery,Small,414.67,2661,0.945,Wallet,West,False
M00023,90,648267.28,6,84,0.06666666666666667,Normal,Healthcare,Small,7208.81,1776,0.92,Net Banking,Central,False
M00024,98,81658.69,6,92,0.061224489795918366,Normal,Gaming,Small,818.93,762,0.935,Credit Card,Central,False
M00025,75,83829.2,2,73,0.02666666666666667,Normal,Food Delivery,Small,1120.19,741,0.955,UPI,South,False
M00026,92,155654.31,6,86,0.06521739130434782,Normal,Retail,Medium,1753.15,10953,0.935,Credit Card,North,False
M00027,99,169305.85,6,93,0.06060606060606061,Normal,E-commerce,Large,1593.49,76993,0.935,Credit Card,Central,False
M00028,102,245692.65,6,96,0.058823529411764705,Incident,E-commerce,Small,2349.96,721,0.955,UPI,West,False
M00029,104,412672.31,7,97,0.0673076923076923,Normal,Retail,Small,4102.67,947,0.925,Debit Card,West,False
M00030,108,272316.5,4,104,0.037037037037037035,Normal,E-commerce,Small,2581.83,808,0.955,UPI,West,False
M00031,89,153015.68,7,82,0.07865168539325842,Normal,Media,Small,1713.65,560,0.92,Net Banking,North,False
M00032,102,264409.9,5,97,0.049019607843137254,Normal,Retail,Medium,2666.11,9570,0.935,Credit Card,South,False
M00033,104,407084.93,2,102,0.019230769230769232,Normal,E-commerce,Small,4028.32,2363,0.955,UPI,West,False
M00034,95,142114.4,4,91,0.042105263157894736,Normal,Gaming,Medium,1511.35,6111,0.925,Debit Card,Central,True
M00035,118,221809.96,8,110,0.06779661016949153,Normal,Retail,Small,1911.22,705,0.955,UPI,Central,False
M00036,99,81783.84,5,94,0.050505050505050504,Normal,Food Delivery,Medium,860.18,6044,0.955,UPI,South,True
M00037,98,732962.88,3,95,0.030612244897959183,Normal,Education,Medium,7232.01,7033,0.96,UPI,West,True
M00038,108,339303.4,6,102,0.05555555555555555,Normal,Education,Small,3214.59,1568,0.93,Debit Card,Central,True
M00039,103,202971.68,4,99,0.038834951456310676,Normal,Gaming,Small,1971.95,2372,0.955,UPI,West,False
M00040,85,1082592.83,1,84,0.011764705882352941,Normal,Professional Services,Small,12570.89,909,0.925,Net Banking,West,True
M00041,102,455277.44,2,100,0.0196078431372549,Normal,E-commerce,Small,4456.72,2013,0.945,Wallet,East,False
M00042,91,908289.71,9,82,0.0989010989010989,Normal,Healthcare,Small,9885.1,2666,0.93,Debit Card,East,True
M00043,100,540997.81,7,93,0.07,Normal,Professional Services,Small,5282.95,972,0.955,Wallet,North,False
M00044,92,1430163.31,7,85,0.07608695652173914,Normal,Professional Services,Small,15199.41,1333,0.925,Net Banking,East,False
M00045,92,235756.69,6,86,0.06521739130434782,Normal,Media,Small,2569.09,878,0.95,Wallet,East,False
M00046,111,1490402.0,8,103,0.07207207207207207,Normal,Professional Services,Small,13830.93,1572,0.925,Net Banking,East,True
M00047,98,166985.52,3,95,0.030612244897959183,Normal,Healthcare,Medium,1677.19,14321,0.96,UPI,Central,False
M00048,98,74267.58,7,91,0.07142857142857142,Normal,Food Delivery,Medium,758.72,3685,0.935,Credit Card,Central,False
M00049,104,151298.01,5,99,0.04807692307692308,Normal,Retail,Medium,1445.34,7088,0.945,Wallet,North,False
M00050,104,1180670.7,4,100,0.038461538461538464,Normal,SaaS,Small,11993.73,1469,0.955,Wallet,West,False
M00051,89,332363.92,9,80,0.10112359550561797,Normal,Retail,Medium,3814.54,8442,0.955,UPI,West,False
M00052,93,2339609.97,7,86,0.07526881720430108,Normal,Travel,Medium,24684.36,4771,0.93,Credit Card,South,False
M00053,94,401141.29,8,86,0.0851063829787234,Normal,Education,Small,4222.12,1750,0.92,Net Banking,South,False
M00054,95,91359.11,8,87,0.08421052631578947,Normal,Media,Small,980.09,784,0.94,Credit Card,South,False
M00055,100,1315456.54,9,91,0.09,Normal,SaaS,Medium,13123.93,8425,0.925,Net Banking,West,False
M00056,104,528713.66,7,97,0.0673076923076923,Normal,E-commerce,Large,4925.98,20014,0.935,Credit Card,South,False
M00057,100,918908.98,7,93,0.07,Normal,Healthcare,Medium,9858.12,4894,0.94,Credit Card,East,False
M00058,87,124606.81,2,85,0.022988505747126436,Normal,Food Delivery,Small,1403.25,2705,0.955,UPI,West,False
M00059,91,72845.93,4,87,0.04395604395604396,Normal,Retail,Medium,814.88,13882,0.955,UPI,South,False
M00060,101,57447.659999999996,5,96,0.04950495049504951,Normal,Food Delivery,Medium,590.42,8067,0.925,Debit Card,North,False
M00061,93,737671.03,2,91,0.021505376344086023,Normal,SaaS,Medium,8045.36,9211,0.965,UPI,Central,True
M00062,106,479007.78,3,103,0.02830188679245283,Normal,Retail,Medium,4251.76,7978,0.935,Credit Card,East,False
M00063,93,483947.68,4,89,0.043010752688172046,Normal,Healthcare,Small,4979.44,1375,0.94,Credit Card,East,False
M00064,106,736793.83,11,95,0.10377358490566038,Normal,Professional Services,Large,7824.37,97960,0.925,Net Banking,South,False
M00065,112,165025.42,7,105,0.0625,Normal,E-commerce,Large,1510.88,41100,0.925,Debit Card,South,False
M00066,89,126560.81,3,86,0.033707865168539325,Normal,Education,Large,1509.8,69321,0.92,Net Banking,Central,False
M00067,120,58644.51,6,114,0.05,Normal,Food Delivery,Medium,517.18,13748,0.935,Credit Card,West,False
M00068,121,183418.7,14,107,0.11570247933884298,Normal,Retail,Medium,1484.79,14401,0.925,Debit Card,North,False
M00069,84,548312.62,7,77,0.08333333333333333,Normal,Education,Small,6609.92,2675,0.94,Credit Card,North,False
M00070,93,105325.09,5,88,0.053763440860215055,Normal,Food Delivery,Large,1135.06,81162,0.925,Debit Card,West,False
M00071,106,274106.04,7,99,0.0660377358490566,Normal,Retail,Small,2636.03,1561,0.925,Debit Card,South,False
M00072,105,92503.23,5,100,0.047619047619047616,Normal,Media,Small,869.89,2301,0.94,Credit Card,Central,True
M00073,111,448652.23,5,106,0.04504504504504504,Normal,SaaS,Small,3966.93,1117,0.925,Net Banking,East,True
M00074,105,109007.11,5,100,0.047619047619047616,Normal,Gaming,Medium,1059.56,10633,0.935,Credit Card,North,False
M00075,89,50538.58,2,87,0.02247191011235955,Normal,E-commerce,Small,587.89,2858,0.945,Wallet,Central,False
M00076,111,862331.0,13,98,0.11711711711711711,Normal,Education,Small,7674.01,2216,0.92,Net Banking,West,True
M00077,112,849071.08,6,106,0.05357142857142857,Normal,Professional Services,Medium,7639.9,10956,0.945,Credit Card,South,True
M00078,103,1274968.33,9,94,0.08737864077669903,Normal,SaaS,Medium,13086.07,5091,0.925,Net Banking,West,False
M00079,94,21070.98,5,89,0.05319148936170213,Normal,Food Delivery,Large,235.23,99246,0.935,Credit Card,Central,False
M00080,102,82015.55,6,96,0.058823529411764705,Normal,Media,Small,792.65,1838,0.94,Credit Card,East,True
M00081,106,46641.95,1,105,0.009433962264150943,Normal,Media,Small,429.34,579,0.96,UPI,West,False
M00082,109,691192.38,4,105,0.03669724770642202,Normal,Education,Large,6468.63,20276,0.93,Debit Card,South,False
M00083,108,171440.88,12,96,0.1111111111111111,Normal,Retail,Small,1573.45,2439,0.925,Debit Card,North,False
M00084,90,35721.04,9,81,0.1,Normal,Food Delivery,Small,418.13,2987,0.915,Net Banking,East,False
M00085,96,37417.05,4,92,0.041666666666666664,Normal,Gaming,Medium,413.49,3420,0.945,Wallet,South,False
M00086,96,108729.16,9,87,0.09375,Normal,Food Delivery,Large,1129.52,24961,0.955,UPI,West,False
M00087,86,157659.94,6,80,0.06976744186046512,Normal,Media,Small,1881.15,995,0.95,Wallet,East,False
M00088,87,61613.81,8,79,0.09195402298850575,Normal,Food Delivery,Small,681.74,2572,0.955,UPI,Central,False
M00089,109,837360.25,6,103,0.05504587155963303,Normal,Education,Small,7725.51,2383,0.96,UPI,West,False
M00090,91,839475.58,8,83,0.08791208791208792,Normal,Healthcare,Medium,9276.56,10921,0.93,Debit Card,East,False
M00091,98,1692318.27,5,93,0.05102040816326531,Normal,Professional Services,Small,17122.43,854,0.925,Net Banking,East,False
M00092,116,520793.35,8,108,0.06896551724137931,Normal,Healthcare,Medium,4410.9,3470,0.93,Debit Card,Central,False
M00093,116,842968.44,10,106,0.08620689655172414,Normal,SaaS,Small,7084.07,2941,0.925,Net Banking,East,True
M00094,109,1283112.31,1,108,0.009174311926605505,Normal,SaaS,Small,11640.9,2501,0.965,UPI,South,True
M00095,94,55613.12,6,88,0.06382978723404255,Normal,E-commerce,Small,577.59,1705,0.935,Credit Card,West,False
M00096,100,171614.49,5,95,0.05,Normal,Gaming,Small,1705.07,1908,0.955,UPI,Central,False
M00097,98,721456.4,8,90,0.08163265306122448,Normal,Professional Services,Small,7273.86,994,0.945,Credit Card,West,False
