merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,failure_rate,success_rate,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled
M00001,115,43193.24,375.5933913043478,11,0.09565217391304348,0.9043478260869565,Food Delivery,Small,381.4,919,0.955,UPI,East,False
M00002,110,105707.67,960.9788181818182,8,0.07272727272727272,0.9272727272727272,Retail,Small,921.63,1452,0.955,UPI,West,False
M00003,102,413727.21,4056.149117647059,7,0.06862745098039216,0.9313725490196079,Education,Small,4144.46,1639,0.94,Credit Card,Central,False
M00004,103,224863.81,2183.143786407767,5,0.04854368932038835,0.9514563106796117,Education,Medium,2088.36,8514,0.96,UPI,West,True
M00005,113,2900631.59,25669.30610619469,13,0.11504424778761062,0.8849557522123894,Travel,Small,25178.21,2381,0.91,Net Banking,East,False
M00006,96,326288.77,3398.841354166667,6,0.0625,0.9375,Retail,Small,3328.88,1981,0.955,UPI,Central,False
M00007,114,334172.01,2931.333421052632,13,0.11403508771929824,0.8859649122807017,Gaming,Small,2957.14,1453,0.915,Net Banking,South,False
M00008,91,1194821.45,13129.906043956044,7,0.07692307692307693,0.9230769230769231,Travel,Small,13881.77,1593,0.93,Credit Card,East,False
M00009,94,77409.52,823.5055319148937,2,0.02127659574468085,0.9787234042553191,Gaming,Small,809.95,2393,0.935,Credit Card,South,False
M00010,89,178847.57,2009.5232584269663,6,0.06741573033707865,0.9325842696629214,Retail,Medium,1959.27,3916,0.955,UPI,Central,False
M00011,112,827433.1799999999,7387.796249999999,5,0.044642857142857144,0.9553571428571429,Education,Small,7391.95,2823,0.96,UPI,East,False
M00012,89,944966.32,10617.599101123595,6,0.06741573033707865,0.9325842696629214,SaaS,Medium,10714.22,5340,0.925,Net Banking,West,True
M00013,105,250280.46,2383.6234285714286,9,0.08571428571428572,0.9142857142857143,E-commerce,Small,2427.95,2890,0.925,Debit Card,East,False
M00014,105,443463.32,4223.46019047619,7,0.06666666666666667,0.9333333333333333,E-commerce,Large,3901.02,29371,0.935,Credit Card,Central,False
