merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,failure_rate,success_rate,merchant_category,merchant_size,avg_transaction_value,monthly_transaction_volume,baseline_success_rate,primary_payment_method,geography,subscription_enabled,merchant_risk_score,risk_category
M00001,115,43193.24,375.5933913043478,11,0.0956521739130434,0.9043478260869564,Food Delivery,Small,381.4,919,0.955,UPI,East,False,24.237602486125517,Low
M00002,110,105707.67,960.9788181818182,8,0.0727272727272727,0.9272727272727272,Retail,Small,921.63,1452,0.955,UPI,West,False,22.911471331725316,Low
M00003,102,413727.21,4056.149117647059,7,0.0686274509803921,0.931372549019608,Education,Small,4144.46,1639,0.94,Credit Card,Central,False,24.56988141345831,Low
M00004,103,224863.81,2183.143786407767,5,0.0485436893203883,0.9514563106796116,Education,Medium,2088.36,8514,0.96,UPI,West,True,21.77764869222695,Low
M00005,113,2900631.59,25669.30610619469,13,0.1150442477876106,0.8849557522123894,Travel,Small,25178.21,2381,0.91,Net Banking,East,False,54.42989833979375,Medium
M00006,96,326288.77,3398.841354166667,6,0.0625,0.9375,Retail,Small,3328.88,1981,0.955,UPI,Central,False,22.367434696640256,Low
M00007,114,334172.01,2931.333421052632,13,0.1140350877192982,0.8859649122807017,Gaming,Small,2957.14,1453,0.915,Net Banking,South,False,28.0009286957518,Low
M00008,91,1194821.45,13129.906043956044,7,0.0769230769230769,0.9230769230769232,Travel,Small,13881.77,1593,0.93,Credit Card,East,False,31.24500671443697,Medium
M00009,94,77409.52,823.5055319148937,2,0.0212765957446808,0.9787234042553192,Gaming,Small,809.95,2393,0.935,Credit Card,South,False,17.401633642412257,Low
M00010,89,178847.57,2009.5232584269663,6,0.0674157303370786,0.9325842696629214,Retail,Medium,1959.27,3916,0.955,UPI,Central,False,19.93127473916936,Low
M00011,112,827433.1799999999,7387.796249999999,5,0.0446428571428571,0.9553571428571428,Education,Small,7391.95,2823,0.96,UPI,East,False,29.302329339477637,Low
M00012,89,944966.32,10617.599101123596,6,0.0674157303370786,0.9325842696629214,SaaS,Medium,10714.22,5340,0.925,Net Banking,West,True,27.85491543150561,Low
M00013,105,250280.46,2383.6234285714286,9,0.0857142857142857,0.9142857142857144,E-commerce,Small,2427.95,2890,0.925,Debit Card,East,False,24.229630635234404,Low
M00014,105,443463.32,4223.46019047619,7,0.0666666666666666,0.9333333333333332,E-commerce,Large,3901.02,29371,0.935,Credit Card,Central,False,25.275257916639525,Low
M00015,92,195142.37,2121.112717391304,5,0.0543478260869565,0.9456521739130436,E-commerce,Medium,2217.29,10668,0.955,UPI,Central,False,19.94227748767753,Low
M00016,107,107349.67,1003.2679439252336,9,0.0841121495327102,0.9158878504672896,Retail,Medium,1015.48,11797,0.925,Debit Card,North,False,23.00182991168408,Low
M00017,96,1018404.53,10608.380520833334,5,0.0520833333333333,0.9479166666666666,Professional Services,Small,10713.3,1578,0.945,Credit Card,East,False,29.004860575398034,Low
M00018,92,747861.91,8128.933804347826,4,0.0434782608695652,0.9565217391304348,Professional Services,Small,8073.56,2579,0.925,Net Banking,North,False,25.115342567632574,Low
M00019,85,413533.53,4865.100352941176,5,0.0588235294117647,0.9411764705882352,E-commerce,Medium,4650.95,3009,0.945,Wallet,Central,False,21.267764829713485,Low
M00020,108,921179.29,8529.437870370371,7,0.0648148148148148,0.9351851851851852,Healthcare,Small,8484.99,1759,0.92,Net Banking,East,False,30.61934637944756,Medium
M00021,103,266470.06,2587.0879611650485,4,0.0388349514563106,0.9611650485436892,E-commerce,Small,2686.96,783,0.955,UPI,North,False,21.722527563459735,Low
M00022,97,39022.2,402.2907216494845,4,0.0412371134020618,0.9587628865979382,Food Delivery,Small,414.67,2661,0.945,Wallet,West,False,18.49850355464306,Low
M00023,90,648267.28,7202.969777777778,6,0.0666666666666666,0.9333333333333332,Healthcare,Small,7208.81,1776,0.92,Net Banking,Central,False,24.914119406716612,Low
