merchant_id,transaction_count,total_transaction_value,average_transaction_value,failed_transactions,injected_anomaly_count,failure_rate,success_rate,has_injected_incident,anomaly_prediction,anomaly_score,predicted_anomaly,failed_transaction_value,estimated_recoverable_value,priority_score
M00005,113,2900631.59,25669.30610619469,29,17,0.2566371681415929,0.7433628318584071,1,-1,-0.2285041661164449,1,744409.8770796459,223322.96312389374,280635.9359609992
M00008,91,1194821.45,13129.906043956044,29,23,0.3186813186813186,0.6813186813186813,1,-1,-0.185515291668996,1,380767.27527472517,114230.18258241755,150633.20780099017
M00052,93,2339609.97,25157.096451612902,7,0,0.075268817204301,0.9247311827956988,0,-1,-0.0900523983407431,1,176099.67516129016,52829.90254838704,56806.34682622262
M00055,100,1315456.54,13154.5654,9,0,0.09,0.91,0,1,0.0622539877796065,0,118391.0886,35517.32658,38713.885972200005
M00078,103,1274968.33,12378.333300970877,9,0,0.087378640776699,0.912621359223301,0,1,0.0693556160204632,0,111404.99970873784,33421.49991262135,36341.82514770477
M00044,92,1430163.31,15545.253369565218,7,0,0.0760869565217391,0.9239130434782608,0,1,0.0284981645158026,0,108816.77358695648,32645.032076086944,35128.89321231095
M00046,111,1490402.0,13427.045045045044,8,0,0.072072072072072,0.927927927927928,0,1,0.0186092560159117,0,107416.36036036025,32224.908108108073,34547.42400779154
M00076,111,862331.0,7768.747747747748,13,0,0.1171171171171171,0.8828828828828829,0,1,0.017683256049073,0,100993.72072072071,30298.11621621621,33846.544241538824
M00042,91,908289.71,9981.205604395604,9,0,0.0989010989010989,0.9010989010989012,0,1,0.0738861270392026,0,89830.85043956043,26949.255131868125,29614.566078975964
M00091,98,1692318.27,17268.553775510205,5,0,0.0510204081632653,0.9489795918367347,0,-1,-0.0090180856387076,1,86342.76887755102,25902.830663265304,27224.403656289043
M00064,106,736793.83,6950.8851886792445,11,0,0.1037735849056603,0.8962264150943396,0,1,0.0749299975480486,0,76459.73707547164,22937.921122641492,25318.271427821266
