transaction_id,merchant_id,timestamp,amount,merchant_category,merchant_size,payment_method,status,failure_reason
T00000001,M00073,2025-09-06 07:53:23,5464.88,SaaS,Small,Net Banking,Success,
T00000002,M00091,2025-02-24 04:35:15,22562.96,Professional Services,Small,Net Banking,Success,
T00000003,M00001,2025-09-20 19:17:46,372.98,Food Delivery,Small,UPI,Success,
T00000004,M00044,2025-01-13 08:14:09,9483.94,Professional Services,Small,Net Banking,Success,
T00000005,M00055,2025-03-26 21:51:13,13705.04,SaaS,Medium,Net Banking,Success,
T00000006,M00044,2025-10-06 01:47:11,21352.5,Professional Services,Small,Net Banking,Success,
T00000007,M00079,2025-07-31 15:13:21,167.8,Food Delivery,Large,Credit Card,Success,
T00000008,M00004,2025-12-04 14:27:58,2419.8,Education,Medium,UPI,Success,
T00000009,M00012,2025-11-09 22:46:47,12525.42,SaaS,Medium,Net Banking,Success,
T00000010,M00081,2025-03-25 14:52:10,543.17,Media,Small,UPI,Success,
T00000011,M00025,2025-05-11 17:17:18,1383.29,Food Delivery,Small,UPI,Success,
T00000012,M00024,2025-05-14 13:53:58,962.8,Gaming,Small,Credit Card,Success,
T00000013,M00007,2025-11-10 10:58:50,3904.68,Gaming,Small,Net Banking,Success,
T00000014,M00046,2025-12-25 04:24:57,15071.82,Professional Services,Small,Net Banking,Success,
T00000015,M00042,2025-08-03 09:23:29,8766.52,Healthcare,Small,Debit Card,Success,
T00000016,M00079,2025-05-21 10:40:57,330.93,Food Delivery,Large,Credit Card,Success,
T00000017,M00083,2025-10-01 15:05:07,2202.73,Retail,Small,Debit Card,Success,
T00000018,M00001,2025-01-31 23:42:54,452.66,Food Delivery,Small,UPI,Success,
T00000019,M00085,2025-12-03 12:12:47,494.11,Gaming,Medium,Wallet,Success,
T00000020,M00063,2025-05-22 16:28:56,5694.23,Healthcare,Small,Credit Card,Success,
T00000021,M00058,2025-05-18 23:21:46,1486.76,Food Delivery,Small,UPI,Success,
T00000022,M00094,2025-09-09 16:07:39,14304.68,SaaS,Small,UPI,Success,
T00000023,M00039,2025-09-04 14:25:35,2426.57,Gaming,Small,UPI,Success,
